"Población de la C.A. de Euskadi por ámbitos territoriales, según grandes grupos de edad y sexo. 01/01/2025"


;"Total";;;"0  - 19";;;"20 -64";;;">= 65"
;"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres";"Total";"Hombres";"Mujeres"
"Artziniega";1.933;950;983;383;191;192;1.152;582;570;398;177;221
"Asparrena";1.646;815;831;247;121;126;1.012;510;502;387;184;203
"Asteasu";1.527;785;742;303;146;157;951;497;454;273;142;131
"Astigarraga";7.665;3.875;3.790;1.878;967;911;4.749;2.414;2.335;1.038;494;544
"Ataun";1.723;895;828;410;216;194;926;494;432;387;185;202
"Atxondo";1.346;675;671;217;107;110;758;392;366;371;176;195
"Aulesti";638;322;316;111;59;52;346;174;172;181;89;92
"Ayala/Aiara";2.882;1.451;1.431;582;303;279;1.745;864;881;555;284;271
"Azkoitia";12.084;6.084;6.000;2.540;1.291;1.249;7.024;3.613;3.411;2.520;1.180;1.340
"Azpeitia";15.431;7.805;7.626;3.160;1.683;1.477;8.787;4.491;4.296;3.484;1.631;1.853
"Bakio";2.868;1.406;1.462;528;258;270;1.769;882;887;571;266;305
"Baliarrain";159;84;75;51;29;22;92;47;45;16;8;8
"Balmaseda";7.773;3.726;4.047;1.390;705;685;4.461;2.173;2.288;1.922;848;1.074
"Baños de Ebro/Mañueta";316;183;133;26;15;11;210;126;84;80;42;38
"Barakaldo";100.200;48.077;52.123;16.753;8.588;8.165;58.889;29.107;29.782;24.558;10.382;14.176
"Barrika";1.596;816;780;270;151;119;954;491;463;372;174;198
"Barrundia";914;516;398;151;80;71;551;316;235;212;120;92
"Basauri";40.323;19.434;20.889;5.850;3.011;2.839;23.180;11.689;11.491;11.293;4.734;6.559
"Beasain";13.915;6.984;6.931;2.838;1.507;1.331;7.948;4.088;3.860;3.129;1.389;1.740
"Bedia";1.110;530;580;178;76;102;680;341;339;252;113;139
"Beizama";101;72;29;13;9;4;62;44;18;26;19;7
"Belauntza";314;167;147;66;36;30;173;96;77;75;35;40
"Berango";8.458;4.101;4.357;1.749;909;840;5.229;2.525;2.704;1.480;667;813
"Berantevilla";520;274;246;87;49;38;311;163;148;122;62;60
"Berastegi";1.088;553;535;212;98;114;618;324;294;258;131;127
"Bergara";14.725;7.294;7.431;2.511;1.286;1225;8.479;4.329;4.150;3.735;1.679;2.056
"Bermeo";17.104;8.403;8.701;2.961;1.541;1420;9.977;5.024;4.953;4.166;1.838;2.328
"Bernedo";551;326;225;68;45;23;324;194;130;159;87;72
"Berriatua";1.231;644;587;250;136;114;698;384;314;283;124;159
"Berriz";4.541;2.266;2.275;895;444;451;2.617;1.375;1.242;1.029;447;582
"Berrobi";588;307;281;122;64;58;351;186;165;115;57;58
"Bidania-Goiatz";528;266;262;108;52;56;317;159;158;103;55;48
"Bilbao";346.933;164.407;182.526;52.676;27.056;25620;206.157;101.773;104.384;88.100;35.578;52.522
"Busturia";1.698;827;871;274;134;140;962;490;472;462;203;259
"Campezo/Kanpezu";1.121;591;530;168;82;86;681;372;309;272;137;135
"Deba";5.364;2.631;2.733;874;450;424;3.017;1.481;1.536;1.473;700;773
"Derio";7.535;3.694;3.841;1.544;797;747;4.579;2.283;2.296;1.412;614;798
"Dima";1.524;797;727;303;167;136;905;471;434;316;159;157
"Donostia / San Sebastián";183.388;86.574;96.814;29.172;14.999;14173;105.384;51.303;54.081;48.832;20.272;28.560
"Durango";30.165;14.668;15.497;5.489;2.827;2662;18.249;9.016;9.233;6.427;2.825;3.602
"Ea";858;445;413;110;55;55;484;265;219;264;125;139
"Eibar";27.118;13.100;14.018;4.948;2.515;2433;15.069;7.586;7.483;7.101;2.999;4.102
"Elantxobe";325;164;161;41;18;23;177;92;85;107;54;53
"Elburgo/Burgelu";670;353;317;125;61;64;417;219;198;128;73;55
"Elciego";1.019;500;519;178;85;93;584;304;280;257;111;146
"Elduain";239;115;124;55;24;31;148;77;71;36;14;22
"Elgeta";1.109;563;546;239;127;112;643;325;318;227;111;116
"Elgoibar";11.659;5.781;5.878;2.298;1.160;1138;6.567;3.387;3.180;2.794;1.234;1.560
"Elorrio";7.425;3.597;3.828;1.369;666;703;4.230;2.118;2.112;1.826;813;1.013
"Elvillar/Bilar";327;153;174;40;16;24;192;95;97;95;42;53
"Erandio";24.209;11.620;12.589;4.047;2.067;1980;14.449;7.142;7.307;5.713;2.411;3.302
"Ereño";283;160;123;41;26;15;147;87;60;95;47;48
