prov,edad,periodo,nac,prov_cod
Araba/Álava,19,2006,16,01
Araba/Álava,19,2007,17,01
Araba/Álava,19,2008,27,01
Araba/Álava,19,2009,28,01
Araba/Álava,19,2010,26,01
Araba/Álava,19,2011,21,01
Araba/Álava,19,2012,17,01
Araba/Álava,19,2013,15,01
Araba/Álava,19,2014,15,01
Araba/Álava,19,2015,18,01
Araba/Álava,19,2016,15,01
Araba/Álava,19,2017,13,01
Araba/Álava,19,2018,15,01
Araba/Álava,19,2019,14,01
Araba/Álava,19,2020,13,01
Araba/Álava,19,2021,6,01
Araba/Álava,19,2022,11,01
Araba/Álava,19,2023,11,01
Araba/Álava,19,2024,10,01
Araba/Álava,20,1996,8,01
Araba/Álava,20,1997,19,01
Araba/Álava,20,1998,17,01
Araba/Álava,20,1999,10,01
Araba/Álava,20,2000,20,01
Araba/Álava,20,2001,13,01
Araba/Álava,20,2002,19,01
Araba/Álava,20,2003,15,01
Araba/Álava,20,2004,17,01
Araba/Álava,20,2005,22,01
Araba/Álava,20,2006,29,01
Araba/Álava,20,2007,24,01
Araba/Álava,20,2008,32,01
Araba/Álava,20,2009,22,01
Araba/Álava,20,2010,19,01
Araba/Álava,20,2011,25,01
Araba/Álava,20,2012,30,01
Araba/Álava,20,2013,20,01
Araba/Álava,20,2014,17,01
Araba/Álava,20,2015,23,01
Araba/Álava,20,2016,22,01
Araba/Álava,20,2017,29,01
Araba/Álava,20,2018,16,01
Araba/Álava,20,2019,16,01
Araba/Álava,20,2020,17,01
Araba/Álava,20,2021,14,01
Araba/Álava,20,2022,15,01
Araba/Álava,20,2023,16,01
Araba/Álava,20,2024,25,01
Araba/Álava,21,1996,14,01
Araba/Álava,21,1997,21,01
Araba/Álava,21,1998,18,01
Araba/Álava,21,1999,21,01
Araba/Álava,21,2000,19,01
Araba/Álava,21,2001,11,01
Araba/Álava,21,2002,25,01
Araba/Álava,21,2003,26,01
Araba/Álava,21,2004,13,01
Araba/Álava,21,2005,25,01
Araba/Álava,21,2006,31,01
Araba/Álava,21,2007,34,01
Araba/Álava,21,2008,36,01
Araba/Álava,21,2009,30,01
Araba/Álava,21,2010,32,01
Araba/Álava,21,2011,37,01
Araba/Álava,21,2012,25,01
Araba/Álava,21,2013,19,01
Araba/Álava,21,2014,20,01
Araba/Álava,21,2015,18,01
Araba/Álava,21,2016,27,01
Araba/Álava,21,2017,23,01
Araba/Álava,21,2018,17,01
Araba/Álava,21,2019,20,01
Araba/Álava,21,2020,25,01
Araba/Álava,21,2021,13,01
Araba/Álava,21,2022,25,01
Araba/Álava,21,2023,24,01
Araba/Álava,21,2024,14,01
Araba/Álava,22,1996,23,01
Araba/Álava,22,1997,27,01
