prov_cod,prov,comarca_cod,comarca_cod_full,comarca,comarca_es,comarca_eu,municipio_cod,municipio_cod_full,municipio,municipio_norm
01,Araba/Álava,04,0104,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa,034,01034,Leza,Leza
01,Araba/Álava,04,0104,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa,039,01039,Moreda de Álava/Moreda Araba,Moreda de Álava / Moreda Araba
01,Araba/Álava,04,0104,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa,041,01041,Navaridas,Navaridas
01,Araba/Álava,04,0104,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa,043,01043,Oyón-Oion,Oyón-Oion
01,Araba/Álava,04,0104,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa,052,01052,Samaniego,Samaniego
01,Araba/Álava,04,0104,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa,057,01057,Villabuena de Álava/Eskuernaga,Villabuena de Álava / Eskuernaga
01,Araba/Álava,04,0104,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa,060,01060,Yécora/Iekora,Yécora / Iekora
01,Araba/Álava,05,0105,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea,003,01003,Aramaio,Aramaio
01,Araba/Álava,05,0105,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea,058,01058,Legutio,Legutio
01,Araba/Álava,05,0105,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea,054,01054,Urkabustaiz,Urkabustaiz
01,Araba/Álava,05,0105,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea,018,01018,Zigoitia,Zigoitia
01,Araba/Álava,05,0105,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea,063,01063,Zuia,Zuia
01,Araba/Álava,06,0106,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea,002,01002,Amurrio,Amurrio
01,Araba/Álava,06,0106,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea,004,01004,Artziniega,Artziniega
01,Araba/Álava,06,0106,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea,010,01010,Ayala/Aiara,Ayala / Aiara
01,Araba/Álava,06,0106,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea,036,01036,Laudio/Llodio,Laudio / Llodio
